"Skill Text";"Skill ID"
reapimpurities;1486
reaperssweep;1767
rendingsweep;1753
twinmoonsweep;1487
victorioussweep;1488
wearyingstrike;1537
woundingstrike;1536
zealoussweep;2071
attackersinsight;1764
dwaynastouch;1528
featherfootgrace;1766
grenthsaura;2013
grenthsfingers;1493
grenthsgrasp;1756
guidinghands;1513
harriersgrasp;1758
harriershaste;1768
lyssashaste;1512
mystichealing;1527
mystictwister;1491
naturalhealing;1525
onslaught;1754
piousrestoration;1529
rendingaura;1765
signetofmysticspeed;2200
signetofpiousrestraint;2014
testoffaith;1545
vowofpiety;1505
whirlingcharge;1544
windsofdisenchantment;1533
zealousvow;1761
arcanezeal;1502
auraslicer;2070
avatarofbalthazar;1518
avatarofdwayna;1519
avatarofgrenth;1520
avataroflyssa;1521
avatarofmelandru;1522
balthazarsrage;1496
banishingstrike;1483
eremiteszeal;1524
extendenchantments;1508
faithfulintervention;1509
heartoffury;1762
heartofholyflame;1507
imbuehealth;1526
intimidatingaura;1531
meditation;1523
mysticcorruption;1755
mysticsweep;1484
mysticvigor;1503
piousfury;2146
pioushaste;1543
piousrenewal;1499
rendingtouch;1534
vowofsilence;1517
watchfulintervention;1504
zealousrenewal;1763
